model,df,BIC,delta
marl,7.75574732605963,844.1263906496455,0
marld,8.711781855426448,845.8925131845368,-1.7661225348913376
marlld,21.426288978873938,906.764601980477,-62.638211330831496
mal,4.7636396691742995,1014.3166461171629,-170.19025546751743
mar,6.928409062323664,1141.1053319787954,-296.97894132914996
mard,9.78719041441183,1143.0396898025583,-298.9132991529128
ma,3.9036800918878187,1241.3297197843885,-397.20332913474306
