model,df,AIC,delta
marlld,21.426288978873938,787.0167179540889,0
marld,8.711781855426448,797.2038464576297,-10.187128503540748
marl,7.75574732605963,800.7690722745427,-13.752354320453833
mal,4.7636396691742995,987.6862476426433,-200.66952968855435
mard,9.78719041441183,1088.3407475898057,-301.3240296357168
mar,6.928409062323664,1102.3731215393493,-315.3564035852604
ma,3.9036800918878187,1219.506793706094,-432.49007575200505
